Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2010M10,"Oct. 2010",IN0001.01,"All food",125.2,,,19.034,,,4.5511,,
2010M10,"Oct. 2010",IN0001.02,"Food",122.7,,,16.2262,,,4.4078,,
2010M10,"Oct. 2010",IN0001.03,"Tropical beverages",114.91,,,16.921,,,-0.4505,,
2010M10,"Oct. 2010",IN0001.04,"Vegetable oilseeds and oils",135.4,,,24.8847,,,7.3751,,
2010M10,"Oct. 2010",IN0001.06,"Agricultural raw materials",155.21,,,36.1014,,,8.6753,,
2010M10,"Oct. 2010",IN0001.07,"Minerals, ores and metals",146.51,,,32.3128,,,6.2205,,
2010M10,"Oct. 2010",IN0001.08,"Minerals, ores and non-precious metals",179.84,,,35.0759,,,6.1128,,
2010M10,"Oct. 2010",IN0001.09,"Precious metals",120.18,,,29.198,,,6.354,,
2010M10,"Oct. 2010",IN0001.10,"Fuels",150.8,,,9.9847,,,4.1149,,
2010M10,"Oct. 2010",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2010M10,"Oct. 2010",IN0001.05,"Tropical beverages and food",120.78,,,16.392,,,3.2219,,
2010M10,"Oct. 2010",IN0001.22,"All groups excl. fuels",139.95,,,28.2533,,,5.9585,,
2010M10,"Oct. 2010",IN0001.23,"All groups excl. precious metals",150.22,,,14.7418,,,4.61,,
2010M10,"Oct. 2010",IN0001.24,"All groups excl. precious metals and fuels",148.85,,,27.911,,,5.8075,,
2010M11,"Nov. 2010",IN0001.20,"All groups",152.53,,,16.1602,,,4.0025,,
2010M11,"Nov. 2010",IN0001.01,"All food",131.35,,,21.8347,,,4.9121,,
2010M11,"Nov. 2010",IN0001.02,"Food",127.73,,,19.0179,,,4.0994,,
2010M11,"Nov. 2010",IN0001.03,"Tropical beverages",120.97,,,20.8733,,,5.2737,,
2010M11,"Nov. 2010",IN0001.04,"Vegetable oilseeds and oils",143.56,,,26.9881,,,6.0266,,
2010M11,"Nov. 2010",IN0001.06,"Agricultural raw materials",166.85,,,40.0924,,,7.4995,,
2010M11,"Nov. 2010",IN0001.07,"Minerals, ores and metals",150.79,,,30.7806,,,2.9213,,
2010M11,"Nov. 2010",IN0001.08,"Minerals, ores and non-precious metals",184.89,,,37.2402,,,2.8081,,
2010M11,"Nov. 2010",IN0001.09,"Precious metals",123.84,,,23.8896,,,3.0454,,
2010M11,"Nov. 2010",IN0001.10,"Fuels",156.82,,,10.0028,,,3.992,,
2010M11,"Nov. 2010",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2010M11,"Nov. 2010",IN0001.05,"Tropical beverages and food",126.07,,,19.4523,,,4.3799,,
2010M11,"Nov. 2010",IN0001.22,"All groups excl. fuels",145.59,,,28.7609,,,4.03,,
2010M11,"Nov. 2010",IN0001.23,"All groups excl. precious metals",156.39,,,15.3999,,,4.1073,,
2010M11,"Nov. 2010",IN0001.24,"All groups excl. precious metals and fuels",155.38,,,30.6044,,,4.387,,
2010M12,"Dec. 2010",IN0001.20,"All groups",161.95,,,20.3284,,,6.1758,,
2010M12,"Dec. 2010",IN0001.01,"All food",139.15,,,24.7199,,,5.9383,,
2010M12,"Dec. 2010",IN0001.02,"Food",134.75,,,20.6248,,,5.496,,
2010M12,"Dec. 2010",IN0001.03,"Tropical beverages",126.45,,,21.1555,,,4.53,,
2010M12,"Dec. 2010",IN0001.04,"Vegetable oilseeds and oils",154.02,,,33.42,,,7.2862,,
2010M12,"Dec. 2010",IN0001.06,"Agricultural raw materials",177.45,,,40.2656,,,6.353,,
2010M12,"Dec. 2010",IN0001.07,"Minerals, ores and metals",157.12,,,32.7363,,,4.1979,,
2010M12,"Dec. 2010",IN0001.08,"Minerals, ores and non-precious metals",195.47,,,38.7788,,,5.7223,,
2010M12,"Dec. 2010",IN0001.09,"Precious metals",126.82,,,26.0636,,,2.4063,,
2010M12,"Dec. 2010",IN0001.10,"Fuels",167.56,,,15.114,,,6.8486,,
2010M12,"Dec. 2010",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2010M12,"Dec. 2010",IN0001.05,"Tropical beverages and food",132.71,,,20.7552,,,5.2669,,
2010M12,"Dec. 2010",IN0001.22,"All groups excl. fuels",152.84,,,30.8674,,,4.9797,,
2010M12,"Dec. 2010",IN0001.23,"All groups excl. precious metals",166.67,,,19.7686,,,6.5733,,
2010M12,"Dec. 2010",IN0001.24,"All groups excl. precious metals and fuels",164.56,,,32.6134,,,5.9081,,
2011M01,"Jan. 2011",IN0001.20,"All groups",169.2,,,21.4906,,,4.4767,,
2011M01,"Jan. 2011",IN0001.01,"All food",145.79,,,28.5626,,,4.7718,,
2011M01,"Jan. 2011",IN0001.02,"Food",139.19,,,19.5996,,,3.295,,
2011M01,"Jan. 2011",IN0001.03,"Tropical beverages",137.96,,,32.1962,,,9.1024,,
2011M01,"Jan. 2011",IN0001.04,"Vegetable oilseeds and oils",161.72,,,42.6606,,,4.9994,,
2011M01,"Jan. 2011",IN0001.06,"Agricultural raw materials",192.59,,,47.0153,,,8.532,,
2011M01,"Jan. 2011",IN0001.07,"Minerals, ores and metals",160.01,,,28.5427,,,1.8394,,
2011M01,"Jan. 2011",IN0001.08,"Minerals, ores and non-precious metals",205.39,,,31.9818,,,5.0749,,
2011M01,"Jan. 2011",IN0001.09,"Precious metals",124.15,,,24.2992,,,-2.1053,,
2011M01,"Jan. 2011",IN0001.10,"Fuels",175.98,,,17.0235,,,5.0251,,
2011M01,"Jan. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M01,"Jan. 2011",IN0001.05,"Tropical beverages and food",138.89,,,22.4564,,,4.6568,,
2011M01,"Jan. 2011",IN0001.22,"All groups excl. fuels",158.21,,,30.4717,,,3.5135,,
2011M01,"Jan. 2011",IN0001.23,"All groups excl. precious metals",175.26,,,21.2369,,,5.1539,,
2011M01,"Jan. 2011",IN0001.24,"All groups excl. precious metals and fuels",173.55,,,32.5923,,,5.4631,,
2011M02,"Feb. 2011",IN0001.20,"All groups",177.6,,,31.0411,,,4.9645,,
2011M02,"Feb. 2011",IN0001.01,"All food",149.79,,,35.827,,,2.7437,,
2011M02,"Feb. 2011",IN0001.02,"Food",142.26,,,25.1628,,,2.2056,,
2011M02,"Feb. 2011",IN0001.03,"Tropical beverages",149.12,,,46.7717,,,8.0893,,
2011M02,"Feb. 2011",IN0001.04,"Vegetable oilseeds and oils",163.26,,,49.3141,,,0.9523,,
2011M02,"Feb. 2011",IN0001.06,"Agricultural raw materials",200.84,,,51.4516,,,4.2837,,
2011M02,"Feb. 2011",IN0001.07,"Minerals, ores and metals",164.68,,,35.6507,,,2.9186,,
2011M02,"Feb. 2011",IN0001.08,"Minerals, ores and non-precious metals",212.79,,,39.8186,,,3.6029,,
2011M02,"Feb. 2011",IN0001.09,"Precious metals",126.67,,,30.4935,,,2.0298,,
2011M02,"Feb. 2011",IN0001.10,"Fuels",186.6,,,27.8432,,,6.0348,,
2011M02,"Feb. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M02,"Feb. 2011",IN0001.05,"Tropical beverages and food",143.95,,,30.0479,,,3.6432,,
2011M02,"Feb. 2011",IN0001.22,"All groups excl. fuels",163,,,37.4136,,,3.0276,,
2011M02,"Feb. 2011",IN0001.23,"All groups excl. precious metals",184.44,,,31.0874,,,5.2379,,
2011M02,"Feb. 2011",IN0001.24,"All groups excl. precious metals and fuels",179.36,,,39.7756,,,3.3477,,
2011M03,"Mar. 2011",IN0001.20,"All groups",184.92,,,33.6997,,,4.1216,,
2011M03,"Mar. 2011",IN0001.01,"All food",144.82,,,39.25,,,-3.318,,
2011M03,"Mar. 2011",IN0001.02,"Food",135.2,,,33.386,,,-4.9627,,
2011M03,"Mar. 2011",IN0001.03,"Tropical beverages",154.26,,,53.1269,,,3.4469,,
2011M03,"Mar. 2011",IN0001.04,"Vegetable oilseeds and oils",156.17,,,41.4071,,,-4.3428,,
2011M03,"Mar. 2011",IN0001.06,"Agricultural raw materials",192.4,,,42.8253,,,-4.2024,,
2011M03,"Mar. 2011",IN0001.07,"Minerals, ores and metals",163.03,,,25.8919,,,-1.0019,,
2011M03,"Mar. 2011",IN0001.08,"Minerals, ores and non-precious metals",201.27,,,20.0895,,,-5.4138,,
2011M03,"Mar. 2011",IN0001.09,"Precious metals",132.81,,,33.6386,,,4.8472,,
2011M03,"Mar. 2011",IN0001.10,"Fuels",200.57,,,34.7011,,,7.4866,,
2011M03,"Mar. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M03,"Mar. 2011",IN0001.05,"Tropical beverages and food",139.9,,,38.2274,,,-2.8135,,
2011M03,"Mar. 2011",IN0001.22,"All groups excl. fuels",159.54,,,31.6989,,,-2.1227,,
2011M03,"Mar. 2011",IN0001.23,"All groups excl. precious metals",191.92,,,33.7049,,,4.0555,,
2011M03,"Mar. 2011",IN0001.24,"All groups excl. precious metals and fuels",171.57,,,31.0295,,,-4.3432,,
2011M04,"Apr. 2011",IN0001.20,"All groups",194.84,,,35.2117,,,5.3645,,
2011M04,"Apr. 2011",IN0001.01,"All food",144.96,,,42.593,,,0.0967,,
2011M04,"Apr. 2011",IN0001.02,"Food",134.52,,,38.196,,,-0.503,,
2011M04,"Apr. 2011",IN0001.03,"Tropical beverages",156.47,,,54.3097,,,1.4326,,
2011M04,"Apr. 2011",IN0001.04,"Vegetable oilseeds and oils",156.56,,,43.2257,,,0.2497,,
2011M04,"Apr. 2011",IN0001.06,"Agricultural raw materials",194.49,,,41.2931,,,1.0863,,
2011M04,"Apr. 2011",IN0001.07,"Minerals, ores and metals",169.15,,,20.2973,,,3.7539,,
2011M04,"Apr. 2011",IN0001.08,"Minerals, ores and non-precious metals",206.1,,,9.5403,,,2.3998,,
2011M04,"Apr. 2011",IN0001.09,"Precious metals",139.96,,,35.8307,,,5.3836,,
2011M04,"Apr. 2011",IN0001.10,"Fuels",214.35,,,38.4958,,,6.8704,,
2011M04,"Apr. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M04,"Apr. 2011",IN0001.05,"Tropical beverages and food",139.93,,,42.292,,,0.0214,,
2011M04,"Apr. 2011",IN0001.22,"All groups excl. fuels",163.19,,,28.719,,,2.2878,,
2011M04,"Apr. 2011",IN0001.23,"All groups excl. precious metals",202.21,,,35.1581,,,5.3616,,
2011M04,"Apr. 2011",IN0001.24,"All groups excl. precious metals and fuels",173.66,,,26.3166,,,1.2182,,
2011M05,"May  2011",IN0001.20,"All groups",185.89,,,36.1931,,,-4.5935,,
2011M05,"May  2011",IN0001.01,"All food",141.33,,,40.5849,,,-2.5041,,
2011M05,"May  2011",IN0001.02,"Food",128.51,,,33.5169,,,-4.4677,,
2011M05,"May  2011",IN0001.03,"Tropical beverages",153.26,,,53.6749,,,-2.0515,,
2011M05,"May  2011",IN0001.04,"Vegetable oilseeds and oils",156.86,,,44.6648,,,0.1916,,
2011M05,"May  2011",IN0001.06,"Agricultural raw materials",179.59,,,37.5115,,,-7.6611,,
2011M05,"May  2011",IN0001.07,"Minerals, ores and metals",165.35,,,20.5439,,,-2.2465,,
2011M05,"May  2011",IN0001.08,"Minerals, ores and non-precious metals",197.49,,,14.7064,,,-4.1776,,
2011M05,"May  2011",IN0001.09,"Precious metals",139.96,,,27.8057,,,0,,
2011M05,"May  2011",IN0001.10,"Fuels",202.86,,,40.5626,,,-5.3604,,
2011M05,"May  2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M05,"May  2011",IN0001.05,"Tropical beverages and food",134.61,,,38.616,,,-3.8019,,
2011M05,"May  2011",IN0001.22,"All groups excl. fuels",158.38,,,27.9321,,,-2.9475,,
2011M05,"May  2011",IN0001.23,"All groups excl. precious metals",192.07,,,37.0754,,,-5.0146,,
2011M05,"May  2011",IN0001.24,"All groups excl. precious metals and fuels",166.68,,,27.9791,,,-4.0193,,
2011M06,"June 2011",IN0001.20,"All groups",185.38,,,37.085,,,-0.2744,,
2011M06,"June 2011",IN0001.01,"All food",142.58,,,39.0346,,,0.8845,,
2011M06,"June 2011",IN0001.02,"Food",134.09,,,36.7847,,,4.3421,,
2011M06,"June 2011",IN0001.03,"Tropical beverages",146.97,,,36.6654,,,-4.1041,,
2011M06,"June 2011",IN0001.04,"Vegetable oilseeds and oils",154.88,,,43.9673,,,-1.2623,,
2011M06,"June 2011",IN0001.06,"Agricultural raw materials",177.18,,,34.0445,,,-1.3419,,
2011M06,"June 2011",IN0001.07,"Minerals, ores and metals",164.11,,,25.7452,,,-0.7499,,
2011M06,"June 2011",IN0001.08,"Minerals, ores and non-precious metals",193.75,,,22.7664,,,-1.8938,,
2011M06,"June 2011",IN0001.09,"Precious metals",140.7,,,29.1537,,,0.5287,,
2011M06,"June 2011",IN0001.10,"Fuels",202.34,,,40.4846,,,-0.2563,,
2011M06,"June 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M06,"June 2011",IN0001.05,"Tropical beverages and food",137.26,,,36.754,,,1.9687,,
2011M06,"June 2011",IN0001.22,"All groups excl. fuels",157.89,,,30.5308,,,-0.3094,,
2011M06,"June 2011",IN0001.23,"All groups excl. precious metals",191.39,,,37.9288,,,-0.354,,
2011M06,"June 2011",IN0001.24,"All groups excl. precious metals and fuels",165.64,,,31.0754,,,-0.624,,
2011M07,"Jul. 2011",IN0001.20,"All groups",189.63,,,41.2304,,,2.2926,,
2011M07,"Jul. 2011",IN0001.01,"All food",144.52,,,34.2748,,,1.3606,,
2011M07,"Jul. 2011",IN0001.02,"Food",138.85,,,35.0024,,,3.5499,,
2011M07,"Jul. 2011",IN0001.03,"Tropical beverages",145.61,,,29.7194,,,-0.9254,,
2011M07,"Jul. 2011",IN0001.04,"Vegetable oilseeds and oils",153.76,,,35.6746,,,-0.7231,,
2011M07,"Jul. 2011",IN0001.06,"Agricultural raw materials",175.22,,,33.1358,,,-1.1062,,
2011M07,"Jul. 2011",IN0001.07,"Minerals, ores and metals",169.71,,,35.0549,,,3.4123,,
2011M07,"Jul. 2011",IN0001.08,"Minerals, ores and non-precious metals",200.71,,,32.7711,,,3.5923,,
2011M07,"Jul. 2011",IN0001.09,"Precious metals",145.22,,,37.6362,,,3.2125,,
2011M07,"Jul. 2011",IN0001.10,"Fuels",206.98,,,44.6603,,,2.2932,,
2011M07,"Jul. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M07,"Jul. 2011",IN0001.05,"Tropical beverages and food",140.52,,,33.6122,,,2.3751,,
2011M07,"Jul. 2011",IN0001.22,"All groups excl. fuels",161.49,,,34.6087,,,2.2801,,
2011M07,"Jul. 2011",IN0001.23,"All groups excl. precious metals",195.59,,,41.5985,,,2.1945,,
2011M07,"Jul. 2011",IN0001.24,"All groups excl. precious metals and fuels",168.81,,,33.4572,,,1.9138,,
2011M08,"Aug. 2011",IN0001.20,"All groups",184.83,,,33.8572,,,-2.5312,,
2011M08,"Aug. 2011",IN0001.01,"All food",144.75,,,28.0633,,,0.1591,,
2011M08,"Aug. 2011",IN0001.02,"Food",139.07,,,29.5,,,0.1584,,
2011M08,"Aug. 2011",IN0001.03,"Tropical beverages",147.42,,,28.4146,,,1.243,,
2011M08,"Aug. 2011",IN0001.04,"Vegetable oilseeds and oils",153.11,,,25.6854,,,-0.4227,,
2011M08,"Aug. 2011",IN0001.06,"Agricultural raw materials",174.91,,,28.0735,,,-0.1769,,
2011M08,"Aug. 2011",IN0001.07,"Minerals, ores and metals",175.53,,,31.3061,,,3.4294,,
2011M08,"Aug. 2011",IN0001.08,"Minerals, ores and non-precious metals",194.84,,,16.8736,,,-2.9246,,
2011M08,"Aug. 2011",IN0001.09,"Precious metals",160.28,,,49.0007,,,10.3705,,
2011M08,"Aug. 2011",IN0001.10,"Fuels",197.21,,,35.96,,,-4.7203,,
2011M08,"Aug. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M08,"Aug. 2011",IN0001.05,"Tropical beverages and food",141.13,,,29.2163,,,0.4341,,
2011M08,"Aug. 2011",IN0001.22,"All groups excl. fuels",164.78,,,29.9732,,,2.0373,,
2011M08,"Aug. 2011",IN0001.23,"All groups excl. precious metals",188.13,,,32.3182,,,-3.8141,,
2011M08,"Aug. 2011",IN0001.24,"All groups excl. precious metals and fuels",166.8,,,23.1633,,,-1.1907,,
2011M09,"Sep. 2011",IN0001.20,"All groups",184.24,,,31.6188,,,-0.3192,,
2011M09,"Sep. 2011",IN0001.01,"All food",140.73,,,17.5198,,,-2.7772,,
2011M09,"Sep. 2011",IN0001.02,"Food",136.02,,,15.742,,,-2.1931,,
2011M09,"Sep. 2011",IN0001.03,"Tropical beverages",144.49,,,25.1754,,,-1.9875,,
2011M09,"Sep. 2011",IN0001.04,"Vegetable oilseeds and oils",146.79,,,16.4076,,,-4.1278,,
2011M09,"Sep. 2011",IN0001.06,"Agricultural raw materials",175.35,,,22.7769,,,0.2516,,
2011M09,"Sep. 2011",IN0001.07,"Minerals, ores and metals",173.08,,,25.4839,,,-1.3958,,
2011M09,"Sep. 2011",IN0001.08,"Minerals, ores and non-precious metals",189.47,,,11.7949,,,-2.7561,,
2011M09,"Sep. 2011",IN0001.09,"Precious metals",160.13,,,41.708,,,-0.0936,,
2011M09,"Sep. 2011",IN0001.10,"Fuels",197.93,,,36.6542,,,0.3651,,
2011M09,"Sep. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M09,"Sep. 2011",IN0001.05,"Tropical beverages and food",138.11,,,18.0326,,,-2.1399,,
2011M09,"Sep. 2011",IN0001.22,"All groups excl. fuels",162.06,,,22.6984,,,-1.6507,,
2011M09,"Sep. 2011",IN0001.23,"All groups excl. precious metals",187.48,,,30.5571,,,-0.3455,,
2011M09,"Sep. 2011",IN0001.24,"All groups excl. precious metals and fuels",162.92,,,15.8089,,,-2.3261,,
2011M10,"Oct. 2011",IN0001.20,"All groups",177.54,,,21.0555,,,-3.6366,,
2011M10,"Oct. 2011",IN0001.01,"All food",133.58,,,6.6933,,,-5.0807,,
2011M10,"Oct. 2011",IN0001.02,"Food",132.35,,,7.8647,,,-2.6981,,
2011M10,"Oct. 2011",IN0001.03,"Tropical beverages",133.83,,,16.4651,,,-7.3777,,
2011M10,"Oct. 2011",IN0001.04,"Vegetable oilseeds and oils",135.57,,,0.1256,,,-7.6436,,
2011M10,"Oct. 2011",IN0001.06,"Agricultural raw materials",165.54,,,6.6555,,,-5.5945,,
2011M10,"Oct. 2011",IN0001.07,"Minerals, ores and metals",156.57,,,6.8664,,,-9.5389,,
2011M10,"Oct. 2011",IN0001.08,"Minerals, ores and non-precious metals",167.1,,,-7.0841,,,-11.8066,,
2011M10,"Oct. 2011",IN0001.09,"Precious metals",148.26,,,23.365,,,-7.4127,,
2011M10,"Oct. 2011",IN0001.10,"Fuels",194.87,,,29.2241,,,-1.546,,
2011M10,"Oct. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M10,"Oct. 2011",IN0001.05,"Tropical beverages and food",132.71,,,9.8775,,,-3.9099,,
2011M10,"Oct. 2011",IN0001.22,"All groups excl. fuels",149.45,,,6.7881,,,-7.7811,,
2011M10,"Oct. 2011",IN0001.23,"All groups excl. precious metals",181.48,,,20.8095,,,-3.2003,,
2011M10,"Oct. 2011",IN0001.24,"All groups excl. precious metals and fuels",149.99,,,0.7659,,,-7.9364,,
2011M11,"Nov. 2011",IN0001.20,"All groups",179.13,,,17.4392,,,0.8956,,
2011M11,"Nov. 2011",IN0001.01,"All food",132.97,,,1.2333,,,-0.4567,,
2011M11,"Nov. 2011",IN0001.02,"Food",130.81,,,2.4113,,,-1.1636,,
2011M11,"Nov. 2011",IN0001.03,"Tropical beverages",133.48,,,10.3414,,,-0.2615,,
2011M11,"Nov. 2011",IN0001.04,"Vegetable oilseeds and oils",136.44,,,-4.9596,,,0.6417,,
2011M11,"Nov. 2011",IN0001.06,"Agricultural raw materials",151.69,,,-9.086,,,-8.3666,,
2011M11,"Nov. 2011",IN0001.07,"Minerals, ores and metals",157.22,,,4.2642,,,0.4151,,
2011M11,"Nov. 2011",IN0001.08,"Minerals, ores and non-precious metals",160.34,,,-13.2782,,,-4.0455,,
2011M11,"Nov. 2011",IN0001.09,"Precious metals",154.74,,,24.9516,,,4.3707,,
2011M11,"Nov. 2011",IN0001.10,"Fuels",198.18,,,26.3742,,,1.6986,,
2011M11,"Nov. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M11,"Nov. 2011",IN0001.05,"Tropical beverages and food",131.47,,,4.2833,,,-0.9344,,
2011M11,"Nov. 2011",IN0001.22,"All groups excl. fuels",148.26,,,1.8339,,,-0.7963,,
2011M11,"Nov. 2011",IN0001.23,"All groups excl. precious metals",182.41,,,16.6379,,,0.5125,,
2011M11,"Nov. 2011",IN0001.24,"All groups excl. precious metals and fuels",145.33,,,-6.468,,,-3.1069,,
2011M12,"Dec. 2011",IN0001.20,"All groups",175.33,,,8.2618,,,-2.1214,,
2011M12,"Dec. 2011",IN0001.01,"All food",130.66,,,-6.1013,,,-1.7372,,
2011M12,"Dec. 2011",IN0001.02,"Food",127.28,,,-5.5436,,,-2.6986,,
2011M12,"Dec. 2011",IN0001.03,"Tropical beverages",129.4,,,2.3329,,,-3.0566,,
2011M12,"Dec. 2011",IN0001.04,"Vegetable oilseeds and oils",137.25,,,-10.8882,,,0.5937,,
2011M12,"Dec. 2011",IN0001.06,"Agricultural raw materials",148.95,,,-16.0609,,,-1.8063,,
2011M12,"Dec. 2011",IN0001.07,"Minerals, ores and metals",152.65,,,-2.845,,,-2.9068,,
2011M12,"Dec. 2011",IN0001.08,"Minerals, ores and non-precious metals",160.96,,,-17.6549,,,0.3867,,
2011M12,"Dec. 2011",IN0001.09,"Precious metals",146.08,,,15.1869,,,-5.5965,,
2011M12,"Dec. 2011",IN0001.10,"Fuels",194.25,,,15.9286,,,-1.983,,
2011M12,"Dec. 2011",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2011M12,"Dec. 2011",IN0001.05,"Tropical beverages and food",127.8,,,-3.6998,,,-2.7915,,
2011M12,"Dec. 2011",IN0001.22,"All groups excl. fuels",144.65,,,-5.3585,,,-2.4349,,
2011M12,"Dec. 2011",IN0001.23,"All groups excl. precious metals",179.26,,,7.5538,,,-1.7269,,
2011M12,"Dec. 2011",IN0001.24,"All groups excl. precious metals and fuels",144,,,-12.4939,,,-0.9152,,
2012M01,"Jan. 2012",IN0001.20,"All groups",178.37,,,5.4196,,,1.7339,,
2012M01,"Jan. 2012",IN0001.01,"All food",131.65,,,-9.6989,,,0.7577,,
2012M01,"Jan. 2012",IN0001.02,"Food",127.3,,,-8.5423,,,0.0157,,
2012M01,"Jan. 2012",IN0001.03,"Tropical beverages",128.91,,,-6.5599,,,-0.3787,,
2012M01,"Jan. 2012",IN0001.04,"Vegetable oilseeds and oils",140.75,,,-12.9669,,,2.5501,,
2012M01,"Jan. 2012",IN0001.06,"Agricultural raw materials",153.36,,,-20.3697,,,2.9607,,
2012M01,"Jan. 2012",IN0001.07,"Minerals, ores and metals",156.45,,,-2.2249,,,2.4894,,
2012M01,"Jan. 2012",IN0001.08,"Minerals, ores and non-precious metals",168.53,,,-17.9463,,,4.703,,
2012M01,"Jan. 2012",IN0001.09,"Precious metals",146.91,,,18.3327,,,0.5682,,
2012M01,"Jan. 2012",IN0001.10,"Fuels",197.4,,,12.1718,,,1.6216,,
2012M01,"Jan. 2012",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2012M01,"Jan. 2012",IN0001.05,"Tropical beverages and food",127.7,,,-8.0567,,,-0.0782,,
2012M01,"Jan. 2012",IN0001.22,"All groups excl. fuels",147.53,,,-6.7505,,,1.991,,
2012M01,"Jan. 2012",IN0001.23,"All groups excl. precious metals",182.6,,,4.1881,,,1.8632,,
2012M01,"Jan. 2012",IN0001.24,"All groups excl. precious metals and fuels",147.81,,,-14.8315,,,2.6458,,
2012M02,"Feb. 2012",IN0001.20,"All groups",186.23,,,4.8592,,,4.4066,,
2012M02,"Feb. 2012",IN0001.01,"All food",133.51,,,-10.8685,,,1.4128,,
2012M02,"Feb. 2012",IN0001.02,"Food",129.6,,,-8.8992,,,1.8068,,
2012M02,"Feb. 2012",IN0001.03,"Tropical beverages",125.26,,,-16.0005,,,-2.8314,,
2012M02,"Feb. 2012",IN0001.04,"Vegetable oilseeds and oils",145.02,,,-11.1724,,,3.0337,,
2012M02,"Feb. 2012",IN0001.06,"Agricultural raw materials",157.92,,,-21.3702,,,2.9734,,
2012M02,"Feb. 2012",IN0001.07,"Minerals, ores and metals",162.77,,,-1.1598,,,4.0396,,
2012M02,"Feb. 2012",IN0001.08,"Minerals, ores and non-precious metals",171.73,,,-19.296,,,1.8988,,
2012M02,"Feb. 2012",IN0001.09,"Precious metals",155.69,,,22.9099,,,5.9764,,
2012M02,"Feb. 2012",IN0001.10,"Fuels",207.26,,,11.0718,,,4.9949,,
2012M02,"Feb. 2012",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2012M02,"Feb. 2012",IN0001.05,"Tropical beverages and food",128.53,,,-10.7121,,,0.65,,
2012M02,"Feb. 2012",IN0001.22,"All groups excl. fuels",152.13,,,-6.6687,,,3.118,,
2012M02,"Feb. 2012",IN0001.23,"All groups excl. precious metals",190.33,,,3.1935,,,4.2333,,
2012M02,"Feb. 2012",IN0001.24,"All groups excl. precious metals and fuels",150.53,,,-16.0738,,,1.8402,,
2012M03,"Mar. 2012",IN0001.20,"All groups",190.92,,,3.2446,,,2.5184,,
2012M03,"Mar. 2012",IN0001.01,"All food",134.38,,,-7.2089,,,0.6516,,
2012M03,"Mar. 2012",IN0001.02,"Food",130.53,,,-3.4541,,,0.7176,,
2012M03,"Mar. 2012",IN0001.03,"Tropical beverages",117.47,,,-23.8493,,,-6.2191,,
2012M03,"Mar. 2012",IN0001.04,"Vegetable oilseeds and oils",150.7,,,-3.5026,,,3.9167,,
2012M03,"Mar. 2012",IN0001.06,"Agricultural raw materials",157.77,,,-17.999,,,-0.095,,
2012M03,"Mar. 2012",IN0001.07,"Minerals, ores and metals",159.54,,,-2.1407,,,-1.9844,,
2012M03,"Mar. 2012",IN0001.08,"Minerals, ores and non-precious metals",171.8,,,-14.642,,,0.0408,,
2012M03,"Mar. 2012",IN0001.09,"Precious metals",149.84,,,12.8228,,,-3.7575,,
2012M03,"Mar. 2012",IN0001.10,"Fuels",215.78,,,7.5834,,,4.1108,,
2012M03,"Mar. 2012",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2012M03,"Mar. 2012",IN0001.05,"Tropical beverages and food",127.31,,,-8.9993,,,-0.9492,,
2012M03,"Mar. 2012",IN0001.22,"All groups excl. fuels",150.62,,,-5.5911,,,-0.9926,,
2012M03,"Mar. 2012",IN0001.23,"All groups excl. precious metals",196.44,,,2.3551,,,3.2102,,
