Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1995M07,"Jul. 1995",IN0001.07,"Minerals, ores and metals",45.1,,,,,"No value reported or collected",1.3028,,
1995M07,"Jul. 1995",IN0001.08,"Minerals, ores and non-precious metals",59.66,,,,,"No value reported or collected",2.7381,,
1995M07,"Jul. 1995",IN0001.09,"Precious metals",33.6,,,,,"No value reported or collected",-0.6211,,
1995M07,"Jul. 1995",IN0001.10,"Fuels",34.16,,,,,"No value reported or collected",-6.7176,,
1995M07,"Jul. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M07,"Jul. 1995",IN0001.05,"Tropical beverages and food",83.72,,,,,"No value reported or collected",-0.7469,,
1995M07,"Jul. 1995",IN0001.22,"All groups excl. fuels",61.97,,,,,"No value reported or collected",-0.5935,,
1995M07,"Jul. 1995",IN0001.23,"All groups excl. precious metals",46.27,,,,,"No value reported or collected",-3.8645,,
1995M07,"Jul. 1995",IN0001.24,"All groups excl. precious metals and fuels",74.74,,,,,"No value reported or collected",-0.5985,,
1995M08,"Aug. 1995",IN0001.20,"All groups",45.24,,,,,"No value reported or collected",1.0498,,
1995M08,"Aug. 1995",IN0001.01,"All food",79.64,,,,,"No value reported or collected",-1.6669,,
1995M08,"Aug. 1995",IN0001.02,"Food",80.68,,,,,"No value reported or collected",-3.4928,,
1995M08,"Aug. 1995",IN0001.03,"Tropical beverages",88.59,,,,,"No value reported or collected",5.3264,,
1995M08,"Aug. 1995",IN0001.04,"Vegetable oilseeds and oils",72.73,,,,,"No value reported or collected",-2.6111,,
1995M08,"Aug. 1995",IN0001.06,"Agricultural raw materials",92.75,,,,,"No value reported or collected",2.4183,,
1995M08,"Aug. 1995",IN0001.07,"Minerals, ores and metals",45.26,,,,,"No value reported or collected",0.3548,,
1995M08,"Aug. 1995",IN0001.08,"Minerals, ores and non-precious metals",60.17,,,,,"No value reported or collected",0.8548,,
1995M08,"Aug. 1995",IN0001.09,"Precious metals",33.48,,,,,"No value reported or collected",-0.3571,,
1995M08,"Aug. 1995",IN0001.10,"Fuels",35.02,,,,,"No value reported or collected",2.5176,,
1995M08,"Aug. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M08,"Aug. 1995",IN0001.05,"Tropical beverages and food",82.63,,,,,"No value reported or collected",-1.302,,
1995M08,"Aug. 1995",IN0001.22,"All groups excl. fuels",61.8,,,,,"No value reported or collected",-0.2743,,
1995M08,"Aug. 1995",IN0001.23,"All groups excl. precious metals",46.82,,,,,"No value reported or collected",1.1887,,
1995M08,"Aug. 1995",IN0001.24,"All groups excl. precious metals and fuels",74.55,,,,,"No value reported or collected",-0.2542,,
1995M09,"Sep. 1995",IN0001.20,"All groups",45.15,,,,,"No value reported or collected",-0.1989,,
1995M09,"Sep. 1995",IN0001.01,"All food",76.94,,,,,"No value reported or collected",-3.3903,,
1995M09,"Sep. 1995",IN0001.02,"Food",78.2,,,,,"No value reported or collected",-3.0739,,
1995M09,"Sep. 1995",IN0001.03,"Tropical beverages",79.65,,,,,"No value reported or collected",-10.0914,,
1995M09,"Sep. 1995",IN0001.04,"Vegetable oilseeds and oils",73.22,,,,,"No value reported or collected",0.6737,,
1995M09,"Sep. 1995",IN0001.06,"Agricultural raw materials",89.52,,,,,"No value reported or collected",-3.4825,,
1995M09,"Sep. 1995",IN0001.07,"Minerals, ores and metals",44.28,,,,,"No value reported or collected",-2.1653,,
1995M09,"Sep. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.98,,,,,"No value reported or collected",-3.6397,,
1995M09,"Sep. 1995",IN0001.09,"Precious metals",33.45,,,,,"No value reported or collected",-0.0896,,
1995M09,"Sep. 1995",IN0001.10,"Fuels",35.98,,,,,"No value reported or collected",2.7413,,
1995M09,"Sep. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M09,"Sep. 1995",IN0001.05,"Tropical beverages and food",78.56,,,,,"No value reported or collected",-4.9256,,
1995M09,"Sep. 1995",IN0001.22,"All groups excl. fuels",60.01,,,,,"No value reported or collected",-2.8964,,
1995M09,"Sep. 1995",IN0001.23,"All groups excl. precious metals",46.72,,,,,"No value reported or collected",-0.2136,,
1995M09,"Sep. 1995",IN0001.24,"All groups excl. precious metals and fuels",71.96,,,,,"No value reported or collected",-3.4742,,
1995M10,"Oct. 1995",IN0001.20,"All groups",44.81,,,,,"No value reported or collected",-0.753,,
1995M10,"Oct. 1995",IN0001.01,"All food",78.11,,,,,"No value reported or collected",1.5207,,
1995M10,"Oct. 1995",IN0001.02,"Food",79.96,,,,,"No value reported or collected",2.2506,,
1995M10,"Oct. 1995",IN0001.03,"Tropical beverages",77.15,,,,,"No value reported or collected",-3.1387,,
1995M10,"Oct. 1995",IN0001.04,"Vegetable oilseeds and oils",75.44,,,,,"No value reported or collected",3.032,,
1995M10,"Oct. 1995",IN0001.06,"Agricultural raw materials",91.43,,,,,"No value reported or collected",2.1336,,
1995M10,"Oct. 1995",IN0001.07,"Minerals, ores and metals",43.5,,,,,"No value reported or collected",-1.7615,,
1995M10,"Oct. 1995",IN0001.08,"Minerals, ores and non-precious metals",56.34,,,,,"No value reported or collected",-2.8286,,
1995M10,"Oct. 1995",IN0001.09,"Precious metals",33.36,,,,,"No value reported or collected",-0.2691,,
1995M10,"Oct. 1995",IN0001.10,"Fuels",35.35,,,,,"No value reported or collected",-1.751,,
1995M10,"Oct. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M10,"Oct. 1995",IN0001.05,"Tropical beverages and food",79.26,,,,,"No value reported or collected",0.891,,
1995M10,"Oct. 1995",IN0001.22,"All groups excl. fuels",60.16,,,,,"No value reported or collected",0.25,,
1995M10,"Oct. 1995",IN0001.23,"All groups excl. precious metals",46.35,,,,,"No value reported or collected",-0.792,,
1995M10,"Oct. 1995",IN0001.24,"All groups excl. precious metals and fuels",72.23,,,,,"No value reported or collected",0.3752,,
1995M11,"Nov. 1995",IN0001.20,"All groups",46.36,,,,,"No value reported or collected",3.459,,
1995M11,"Nov. 1995",IN0001.01,"All food",77.77,,,,,"No value reported or collected",-0.4353,,
1995M11,"Nov. 1995",IN0001.02,"Food",78.76,,,,,"No value reported or collected",-1.5008,,
1995M11,"Nov. 1995",IN0001.03,"Tropical beverages",76.29,,,,,"No value reported or collected",-1.1147,,
1995M11,"Nov. 1995",IN0001.04,"Vegetable oilseeds and oils",76.9,,,,,"No value reported or collected",1.9353,,
1995M11,"Nov. 1995",IN0001.06,"Agricultural raw materials",97.42,,,,,"No value reported or collected",6.5515,,
1995M11,"Nov. 1995",IN0001.07,"Minerals, ores and metals",44.36,,,,,"No value reported or collected",1.977,,
1995M11,"Nov. 1995",IN0001.08,"Minerals, ores and non-precious metals",58.11,,,,,"No value reported or collected",3.1416,,
1995M11,"Nov. 1995",IN0001.09,"Precious metals",33.5,,,,,"No value reported or collected",0.4197,,
1995M11,"Nov. 1995",IN0001.10,"Fuels",37.27,,,,,"No value reported or collected",5.4314,,
1995M11,"Nov. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M11,"Nov. 1995",IN0001.05,"Tropical beverages and food",78.15,,,,,"No value reported or collected",-1.4005,,
1995M11,"Nov. 1995",IN0001.22,"All groups excl. fuels",61.1,,,,,"No value reported or collected",1.5625,,
1995M11,"Nov. 1995",IN0001.23,"All groups excl. precious metals",48.09,,,,,"No value reported or collected",3.754,,
1995M11,"Nov. 1995",IN0001.24,"All groups excl. precious metals and fuels",73.53,,,,,"No value reported or collected",1.7998,,
1995M12,"Dec. 1995",IN0001.20,"All groups",48.58,,,,,"No value reported or collected",4.7886,,
1995M12,"Dec. 1995",IN0001.01,"All food",76.86,,,,,"No value reported or collected",-1.1701,,
1995M12,"Dec. 1995",IN0001.02,"Food",79.42,,,,,"No value reported or collected",0.838,,
1995M12,"Dec. 1995",IN0001.03,"Tropical beverages",67.49,,,,,"No value reported or collected",-11.5349,,
1995M12,"Dec. 1995",IN0001.04,"Vegetable oilseeds and oils",77.73,,,,,"No value reported or collected",1.0793,,
1995M12,"Dec. 1995",IN0001.06,"Agricultural raw materials",96.9,,,,,"No value reported or collected",-0.5338,,
1995M12,"Dec. 1995",IN0001.07,"Minerals, ores and metals",44.29,,,,,"No value reported or collected",-0.1578,,
1995M12,"Dec. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.83,,,,,"No value reported or collected",-0.4818,,
1995M12,"Dec. 1995",IN0001.09,"Precious metals",33.58,,,,,"No value reported or collected",0.2388,,
1995M12,"Dec. 1995",IN0001.10,"Fuels",41.1,,,,,"No value reported or collected",10.2764,,
1995M12,"Dec. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M12,"Dec. 1995",IN0001.05,"Tropical beverages and food",76.48,,,,,"No value reported or collected",-2.1369,,
1995M12,"Dec. 1995",IN0001.22,"All groups excl. fuels",60.69,,,,,"No value reported or collected",-0.671,,
1995M12,"Dec. 1995",IN0001.23,"All groups excl. precious metals",50.59,,,,,"No value reported or collected",5.1986,,
1995M12,"Dec. 1995",IN0001.24,"All groups excl. precious metals and fuels",72.9,,,,,"No value reported or collected",-0.8568,,
1996M01,"Jan. 1996",IN0001.20,"All groups",48.94,,,6.322,,,0.741,,
1996M01,"Jan. 1996",IN0001.01,"All food",78.34,,,-2.9845,,,1.9256,,
1996M01,"Jan. 1996",IN0001.02,"Food",81.25,,,0.5445,,,2.3042,,
1996M01,"Jan. 1996",IN0001.03,"Tropical beverages",71.56,,,-25.1229,,,6.0305,,
1996M01,"Jan. 1996",IN0001.04,"Vegetable oilseeds and oils",77.15,,,6.856,,,-0.7462,,
1996M01,"Jan. 1996",IN0001.06,"Agricultural raw materials",93.08,,,-10.1891,,,-3.9422,,
1996M01,"Jan. 1996",IN0001.07,"Minerals, ores and metals",44.08,,,-3.2485,,,-0.4741,,
1996M01,"Jan. 1996",IN0001.08,"Minerals, ores and non-precious metals",55.99,,,-9.3866,,,-3.1817,,
1996M01,"Jan. 1996",IN0001.09,"Precious metals",34.68,,,5.9578,,,3.2758,,
1996M01,"Jan. 1996",IN0001.10,"Fuels",41.66,,,17.9502,,,1.3625,,
1996M01,"Jan. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M01,"Jan. 1996",IN0001.05,"Tropical beverages and food",78.86,,,-6.6193,,,3.1119,,
1996M01,"Jan. 1996",IN0001.22,"All groups excl. fuels",60.73,,,-4.2114,,,0.0659,,
1996M01,"Jan. 1996",IN0001.23,"All groups excl. precious metals",50.85,,,6.3363,,,0.5139,,
1996M01,"Jan. 1996",IN0001.24,"All groups excl. precious metals and fuels",72.46,,,-6.1521,,,-0.6036,,
1996M02,"Feb. 1996",IN0001.20,"All groups",52.08,,,12.411,,,6.416,,
1996M02,"Feb. 1996",IN0001.01,"All food",79.92,,,-0.4608,,,2.0168,,
1996M02,"Feb. 1996",IN0001.02,"Food",82.94,,,3.0311,,,2.08,,
1996M02,"Feb. 1996",IN0001.03,"Tropical beverages",78.01,,,-18.1427,,,9.0134,,
1996M02,"Feb. 1996",IN0001.04,"Vegetable oilseeds and oils",75.74,,,6.1082,,,-1.8276,,
1996M02,"Feb. 1996",IN0001.06,"Agricultural raw materials",95.48,,,-8.6753,,,2.5784,,
1996M02,"Feb. 1996",IN0001.07,"Minerals, ores and metals",44.25,,,0.4768,,,0.3857,,
1996M02,"Feb. 1996",IN0001.08,"Minerals, ores and non-precious metals",55.75,,,-4.8148,,,-0.4286,,
1996M02,"Feb. 1996",IN0001.09,"Precious metals",35.17,,,8.0492,,,1.4129,,
1996M02,"Feb. 1996",IN0001.10,"Fuels",46.21,,,27.0902,,,10.9217,,
1996M02,"Feb. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M02,"Feb. 1996",IN0001.05,"Tropical beverages and food",81.73,,,-2.8758,,,3.6394,,
1996M02,"Feb. 1996",IN0001.22,"All groups excl. fuels",61.6,,,-1.4242,,,1.4326,,
1996M02,"Feb. 1996",IN0001.23,"All groups excl. precious metals",54.35,,,12.8061,,,6.883,,
1996M02,"Feb. 1996",IN0001.24,"All groups excl. precious metals and fuels",73.5,,,-3.2385,,,1.4353,,
1996M03,"Mar. 1996",IN0001.20,"All groups",50.18,,,7.7055,,,-3.6482,,
1996M03,"Mar. 1996",IN0001.01,"All food",79.7,,,-3.0885,,,-0.2753,,
1996M03,"Mar. 1996",IN0001.02,"Food",83.78,,,2.7219,,,1.0128,,
1996M03,"Mar. 1996",IN0001.03,"Tropical beverages",75.74,,,-24.4263,,,-2.9099,,
