Quarter,Quarter Label,Economy,Economy Label,Flow,Flow Label,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Volume Index (2005=100),Volume Index (2005=100) Footnote,Volume Index (2005=100) Missing value,"Volume Index, seasonally adjusted (2005=100)","Volume Index, seasonally adjusted (2005=100) Footnote","Volume Index, seasonally adjusted (2005=100) Missing value","Growth rate (over previous period), seasonally adjusted","Growth rate (over previous period), seasonally adjusted Footnote","Growth rate (over previous period), seasonally adjusted Missing value"
2013Q02,"Q2 2013",1641,"SIDS: Atlantic and Indian Ocean",01,"Imports",3.9039,,,-2.7696,,,139.0119,,,124.0124,,,-3.70638,,
2013Q02,"Q2 2013",1642,"SIDS: Caribbean",02,"Exports",4.7063,,,3.0677,,,100.5749,,,96.6029,,,6.0391,,
2013Q02,"Q2 2013",1642,"SIDS: Caribbean",01,"Imports",11.6753,,,-3.1149,,,125.3483,,,116.1497,,,2.00734,,
2013Q02,"Q2 2013",1643,"SIDS: Pacific",02,"Exports",12.8552,,,6.331,,,159.925,,,153.7643,,,8.27006,,
2013Q02,"Q2 2013",1643,"SIDS: Pacific",01,"Imports",9.0356,,,2.4601,,,160.8004,,,151.8677,,,3.5424,,
2013Q02,"Q2 2013",2623,"Low-income developing economies",02,"Exports",15.7334,,,7.7116,,,121.0127,,,112.4882,,,11.61068,,
2013Q02,"Q2 2013",2623,"Low-income developing economies",01,"Imports",7.0528,,,2.4108,,,188.7296,,,173.4149,,,2.36504,,
2013Q02,"Q2 2013",2622,"Middle-income developing economies",02,"Exports",2.537,,,2.25,,,145.7882,,,144.5316,,,0.25889,,
2013Q02,"Q2 2013",2622,"Middle-income developing economies",01,"Imports",5.7516,,,6.7308,,,202.659,,,192.2907,,,1.99459,,
2013Q02,"Q2 2013",2621,"High-income developing economies",02,"Exports",6.3469,,,2.363,,,179.3293,,,168.1797,,,0.55175,,
2013Q02,"Q2 2013",2621,"High-income developing economies",01,"Imports",7.179,,,6.9803,,,198.5145,,,188.089,,,2.91778,,
2013Q02,"Q2 2013",2711,"BRICS",02,"Exports",5.6402,,,3.2065,,,214.5693,,,194.6216,,,-1.72827,,
2013Q02,"Q2 2013",2711,"BRICS",01,"Imports",6.0085,,,7.9814,,,247.5784,,,229.842,,,1.81099,,
2013Q02,"Q2 2013",3412,"European Union (2020 …)",02,"Exports",2.5566,,,0.7165,,,122.1371,,,,,"No value reported or collected",,,"No value reported or collected"
2013Q02,"Q2 2013",3412,"European Union (2020 …)",01,"Imports",1.4614,,,-1.2329,,,110.7233,,,,,"No value reported or collected",,,"No value reported or collected"
2013Q02,"Q2 2013",3916,"G20 (Group of Twenty)",02,"Exports",5.0164,,,1.1301,,,146.6019,,,139.8567,,,0.01393,,
2013Q02,"Q2 2013",3916,"G20 (Group of Twenty)",01,"Imports",4.8915,,,2.5275,,,139.5803,,,134.6235,,,1.45877,,
2013Q02,"Q2 2013",3919,"G-77 (Group of 77)",02,"Exports",5.3988,,,2.6019,,,172.511,,,164.1276,,,0.61827,,
2013Q02,"Q2 2013",3919,"G-77 (Group of 77)",01,"Imports",6.1846,,,7.0037,,,211.71,,,200.7578,,,2.66783,,
2013Q02,"Q2 2013",3905,"OECD (Organisation for Economic Cooperation and Development)",02,"Exports",3.9671,,,0.9728,,,129.4144,,,124.7258,,,0.47133,,
2013Q02,"Q2 2013",3905,"OECD (Organisation for Economic Cooperation and Development)",01,"Imports",3.5686,,,0.1289,,,117.6992,,,114.6153,,,0.63669,,
2013Q03,"Q3 2013",0000,"World",02,"Exports",-0.5472,,,2.6573,,,141.8567,,,138.0894,,,0.76129,,
2013Q03,"Q3 2013",0000,"World",01,"Imports",0.621,,,3.1693,,,141.1109,,,135.9999,,,0.53313,,
2013Q03,"Q3 2013",5100,"Africa",02,"Exports",-6.6357,,,-5.2925,,,114.7469,,,114.0174,,,-7.05566,,
2013Q03,"Q3 2013",5100,"Africa",01,"Imports",-1.2611,,,4.8307,,,196.2114,,,186.8768,,,-1.07329,,
2013Q03,"Q3 2013",5110,"Northern Africa",02,"Exports",-15.7232,,,-12.1955,,,93.9521,,,104.2918,,,-11.59227,,
2013Q03,"Q3 2013",5110,"Northern Africa",01,"Imports",-11.8439,,,3.8626,,,187.6039,,,184.6698,,,-6.36961,,
2013Q03,"Q3 2013",5120,"Sub-Saharan Africa",02,"Exports",-2.217,,,-2.0698,,,125.4609,,,118.9661,,,-3.53452,,
2013Q03,"Q3 2013",5120,"Sub-Saharan Africa",01,"Imports",5.3064,,,5.3154,,,201.01,,,185.5964,,,0.99645,,
2013Q03,"Q3 2013",5121,"Eastern Africa",02,"Exports",-3.1301,,,9.8757,,,170.5343,,,166.5229,,,-3.36686,,
2013Q03,"Q3 2013",5121,"Eastern Africa",01,"Imports",5.8993,,,10.9784,,,255.7092,,,227.4218,,,1.79862,,
2013Q03,"Q3 2013",5122,"Middle Africa",02,"Exports",3.278,,,5.3724,,,145.4008,,,139.1493,,,2.15933,,
2013Q03,"Q3 2013",5122,"Middle Africa",01,"Imports",0.5154,,,-0.1269,,,210.4837,,,208.2296,,,-2.49315,,
2013Q03,"Q3 2013",5123,"Southern Africa",02,"Exports",0.7438,,,0.0833,,,142.503,,,125.6174,,,-3.79704,,
2013Q03,"Q3 2013",5123,"Southern Africa",01,"Imports",11.6282,,,-4.4583,,,153.4355,,,139.3572,,,1.80701,,
2013Q03,"Q3 2013",5124,"Western Africa",02,"Exports",-8.6622,,,-12.2365,,,105.8949,,,103.6526,,,-10.71259,,
2013Q03,"Q3 2013",5124,"Western Africa",01,"Imports",1.7738,,,15.0729,,,227.2271,,,218.8516,,,5.37435,,
2013Q03,"Q3 2013",5200,"Americas",02,"Exports",-1.5638,,,3.2969,,,131.3783,,,128.1972,,,0.43116,,
2013Q03,"Q3 2013",5200,"Americas",01,"Imports",1.6158,,,2.2213,,,132.5274,,,123.5377,,,0.00239,,
2013Q03,"Q3 2013",5210,"Northern America",02,"Exports",-2.1583,,,3.213,,,132.8788,,,132.798,,,0.65368,,
2013Q03,"Q3 2013",5210,"Northern America",01,"Imports",1.166,,,1.6933,,,118.1254,,,111.017,,,0.61538,,
2013Q03,"Q3 2013",5220,"Latin America and the Caribbean",02,"Exports",-0.4916,,,3.38,,,128.9663,,,119.167,,,0.01627,,
2013Q03,"Q3 2013",5220,"Latin America and the Caribbean",01,"Imports",2.7078,,,3.5164,,,190.6634,,,172.7774,,,-1.4767,,
2013Q03,"Q3 2013",5221,"Caribbean",02,"Exports",1.6628,,,8.275,,,102.2941,,,99.8233,,,4.34375,,
2013Q03,"Q3 2013",5221,"Caribbean",01,"Imports",-1.9856,,,-5.5049,,,120.0237,,,110.254,,,-3.41771,,
2013Q03,"Q3 2013",5222,"Central America",02,"Exports",-1.1798,,,3.8239,,,139.6671,,,133.8953,,,1.67484,,
2013Q03,"Q3 2013",5222,"Central America",01,"Imports",0.655,,,1.9253,,,152.6743,,,141.6282,,,-0.24825,,
2013Q03,"Q3 2013",5223,"South America",02,"Exports",-0.1958,,,2.8261,,,125.7816,,,112.4558,,,-1.52475,,
2013Q03,"Q3 2013",5223,"South America",01,"Imports",4.7664,,,5.7396,,,249.1884,,,222.2897,,,-2.15187,,
2013Q03,"Q3 2013",5300,"Asia",02,"Exports",1.5137,,,3.7772,,,182.6135,,,172.3776,,,0.44308,,
2013Q03,"Q3 2013",5300,"Asia",01,"Imports",1.0889,,,5.2468,,,180.7836,,,171.4412,,,-0.22267,,
2013Q03,"Q3 2013",5310,"Central Asia",02,"Exports",-8.2953,,,-3.6288,,,158.1555,,,155.6745,,,-6.49112,,
2013Q03,"Q3 2013",5310,"Central Asia",01,"Imports",0.985,,,4.4484,,,364.8041,,,296.9414,,,-0.71956,,
2013Q03,"Q3 2013",5330,"Eastern Asia",02,"Exports",2.2247,,,3.2387,,,209.0248,,,190.5771,,,0.45272,,
2013Q03,"Q3 2013",5330,"Eastern Asia",01,"Imports",4.1226,,,5.7475,,,178.8344,,,168.468,,,1.32386,,
2013Q03,"Q3 2013",5350,"South-eastern Asia",02,"Exports",2.9457,,,5.6644,,,154.7023,,,145.2633,,,0.71333,,
2013Q03,"Q3 2013",5350,"South-eastern Asia",01,"Imports",-1.3546,,,6.6728,,,165.219,,,156.1354,,,-0.62226,,
2013Q03,"Q3 2013",5320,"Southern Asia",02,"Exports",4.546,,,10.9195,,,154.6085,,,163.2609,,,5.41186,,
2013Q03,"Q3 2013",5320,"Southern Asia",01,"Imports",-6.0753,,,-2.6451,,,175.5857,,,170.4892,,,-6.23035,,
2013Q03,"Q3 2013",5340,"Western Asia",02,"Exports",-1.7417,,,2.2633,,,160.5851,,,159.9815,,,-0.3621,,
2013Q03,"Q3 2013",5340,"Western Asia",01,"Imports",-2.1241,,,6.3392,,,207.5056,,,201.3469,,,-0.14502,,
2013Q03,"Q3 2013",5400,"Europe",02,"Exports",-1.5728,,,1.9328,,,121.1116,,,120.7832,,,1.84648,,
2013Q03,"Q3 2013",5400,"Europe",01,"Imports",-0.6582,,,1.5883,,,117.0813,,,116.6176,,,1.68055,,
2013Q03,"Q3 2013",5410,"Eastern Europe",02,"Exports",1.5707,,,4.3393,,,166.2092,,,160.4068,,,3.73536,,
2013Q03,"Q3 2013",5410,"Eastern Europe",01,"Imports",4.3503,,,2.6697,,,199.1279,,,182.6773,,,3.45182,,
2013Q03,"Q3 2013",5420,"Northern Europe",02,"Exports",-1.687,,,-0.38,,,109.8619,,,109.6758,,,1.33975,,
2013Q03,"Q3 2013",5420,"Northern Europe",01,"Imports",0.0949,,,2.832,,,121.2682,,,120.7104,,,1.52119,,
2013Q03,"Q3 2013",5430,"Southern Europe",02,"Exports",-5.1058,,,4.8618,,,117.6654,,,119.0143,,,2.28224,,
2013Q03,"Q3 2013",5430,"Southern Europe",01,"Imports",-2.5658,,,2.0937,,,89.7182,,,91.4015,,,2.88567,,
2013Q03,"Q3 2013",5440,"Western Europe",02,"Exports",-1.6135,,,1.0569,,,114.8019,,,115.2939,,,1.24174,,
2013Q03,"Q3 2013",5440,"Western Europe",01,"Imports",-1.9589,,,0.6086,,,109.9763,,,111.0641,,,0.77124,,
2013Q03,"Q3 2013",5500,"Oceania",02,"Exports",-1.3044,,,4.7948,,,133.5767,,,124.7926,,,0.085,,
2013Q03,"Q3 2013",5500,"Oceania",01,"Imports",9.1646,,,2.3421,,,155.7216,,,139.5564,,,1.32779,,
2013Q03,"Q3 2013",0001,"Individual economies",02,"Exports",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2013Q03,"Q3 2013",0001,"Individual economies",01,"Imports",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2013Q03,"Q3 2013",008,"Albania",02,"Exports",0.5835,"Estimated",,19.6236,"Estimated",,289.9436,"Estimated",,292.9337,"Estimated",,6.39491,"Estimated",
2013Q03,"Q3 2013",008,"Albania",01,"Imports",5.426,"Estimated",,0.4889,"Estimated",,172.6315,"Estimated",,153.8178,"Estimated",,6.04553,"Estimated",
2013Q03,"Q3 2013",012,"Algeria",02,"Exports",-11.3874,"Estimated",,-13.5055,"Estimated",,68.2945,"Estimated",,78.6426,"Estimated",,-9.32236,"Estimated",
2013Q03,"Q3 2013",012,"Algeria",01,"Imports",-14.3348,"Estimated",,4.8308,"Estimated",,182.664,"Estimated",,191.4316,"Estimated",,-7.04477,"Estimated",
2013Q03,"Q3 2013",032,"Argentina",02,"Exports",-6.3213,,,-2.1409,,,128.2726,,,101.2313,"Estimated",,-5.70007,"Estimated",
2013Q03,"Q3 2013",032,"Argentina",01,"Imports",7.2745,,,3.1582,,,254.6787,,,217.9216,"Estimated",,-2.94105,"Estimated",
2013Q03,"Q3 2013",051,"Armenia",02,"Exports",7.9292,"Estimated",,17.6577,"Estimated",,129.8886,"Estimated",,92.7045,"Estimated",,1.26166,"Estimated",
2013Q03,"Q3 2013",051,"Armenia",01,"Imports",6.5974,"Estimated",,10.9559,"Estimated",,216.8896,"Estimated",,184.2525,"Estimated",,4.79403,"Estimated",
2013Q03,"Q3 2013",036,"Australia",02,"Exports",0.4874,,,6.1449,,,143.3555,,,130.5387,"Estimated",,-0.15227,"Estimated",
2013Q03,"Q3 2013",036,"Australia",01,"Imports",7.1473,,,-0.431,,,149.3979,,,136.1925,"Estimated",,-0.28755,"Estimated",
2013Q03,"Q3 2013",040,"Austria",02,"Exports",-1.5988,,,0.5274,,,118.9068,,,117.3641,,,0.84877,,
2013Q03,"Q3 2013",040,"Austria",01,"Imports",3.0623,,,1.6205,,,115.9522,,,113.65,,,3.80936,,
2013Q03,"Q3 2013",048,"Bahrain",02,"Exports",11.8865,"Estimated",,20.782,"Estimated",,173.0366,"Estimated",,162.759,"Estimated",,10.57886,"Estimated",
2013Q03,"Q3 2013",048,"Bahrain",01,"Imports",7.1975,"Estimated",,-0.0749,"Estimated",,105.886,"Estimated",,94.3245,"Estimated",,1.42811,"Estimated",
2013Q03,"Q3 2013",050,"Bangladesh",02,"Exports",4.9818,"Estimated",,23.4504,"Estimated",,304.1545,"Estimated",,283.6829,"Estimated",,7.19454,"Estimated",
2013Q03,"Q3 2013",050,"Bangladesh",01,"Imports",11.3581,"Estimated",,18.595,"Estimated",,174.889,"Estimated",,191.2553,"Estimated",,18.46505,"Estimated",
2013Q03,"Q3 2013",112,"Belarus",02,"Exports",-4.1299,"Estimated",,-13.1845,"Estimated",,163.8445,"Estimated",,150.326,"Estimated",,2.78833,"Estimated",
