Country,Commodity,Time,Value ($US),Quantity 2
China,57 Carpets And Other Textile Floor Coverings,2013,"429,434",
China,57 Carpets And Other Textile Floor Coverings,2014,"432,176",
China,57 Carpets And Other Textile Floor Coverings,2015,"270,624",
China,57 Carpets And Other Textile Floor Coverings,2016,"279,914",
China,57 Carpets And Other Textile Floor Coverings,2017,"256,840",
China,57 Carpets And Other Textile Floor Coverings,2018,"233,618",
China,57 Carpets And Other Textile Floor Coverings,2019,"224,790",
China,57 Carpets And Other Textile Floor Coverings,2020,"156,818",
China,57 Carpets And Other Textile Floor Coverings,2021,"755,428",
China,57 Carpets And Other Textile Floor Coverings,2022,"390,307",
China,57 Carpets And Other Textile Floor Coverings,2023,"668,040",
China,57 Carpets And Other Textile Floor Coverings,2024 through October,"1,392,592",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1992,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1993,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1994,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1995,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1996,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1997,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1998,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,1999,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2000,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2001,,
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2002,"1,163,160",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2003,"2,347,729",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2004,"91,373",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2005,"679,127",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2006,"845,295",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2007,"648,265",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2008,"108,777",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2009,"256,702",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2010,"457,946",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2011,"555,648",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2012,"508,022",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2013,"512,064",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2014,"657,296",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2015,"599,903",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2016,"498,991",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2017,"972,040",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2018,"978,617",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2019,"869,915",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2020,"1,902,521",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2021,"2,436,873",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2022,"1,210,006",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2023,"1,444,089",
China,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,2024 through October,"1,950,556",
China,59 Impregnated Etc Text Fabrics; Tex Art For Industry,1992,,
